"","Brewery_id","Name.x","Beer_ID","ABV","IBU","Style","Ounces","Name.y","City","State","region"
"94",11,"Pothole Stout",1949,0.063,NA,"American Stout",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"95",11,"Tree Bucket",1947,0.093,NA,"Belgian IPA",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"96",11,"Le Flaneur Ale",1785,0.073,NA,"American Wild Ale",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"97",11,"Maize & Blueberry",1651,0.056,NA,"Fruit / Vegetable Beer",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"98",11,"Trebuchet Double IPA",1443,0.093,NA,"American Double / Imperial IPA",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"99",11,"Contemplation",1352,0.065,NA,"Bière de Garde",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"100",11,"Black Rabbit",1267,0.05,NA,"American Black Ale",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"101",11,"Zaison",1266,0.09,NA,"Saison / Farmhouse Ale",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"102",11,"Vivant Tripel",1178,0.082,NA,"Tripel",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"103",11,"Tart Side of the Moon",1136,0.098,NA,"Belgian Dark Ale",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"104",11,"Big Red Coq",1044,0.06,NA,"American Amber / Red Ale",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"105",11,"Hubris Quadrupel Anniversary Ale",1033,0.099,NA,"Quadrupel (Quad)",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"106",11,"Plow Horse Belgian Style Imperial Stout",1031,0.095,NA,"American Double / Imperial Stout",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"107",11,"Escoffier Bretta Ale",909,0.092,NA,"American Wild Ale",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"108",11,"Contemplation (2012)",873,0.065,NA,"Bière de Garde",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"109",11,"Vivant Belgian Style Imperial Stout (2012)",860,0.099,NA,"Russian Imperial Stout",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"110",11,"Big Red Coq (2012)",677,0.062,NA,"American Amber / Red Ale",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"111",11,"Zaison (2012)",671,0.09,NA,"Saison / Farmhouse Ale",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"112",11,"Vivant Tripel (2012)",670,0.092,NA,"Tripel",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"113",11,"Trebuchet Double IPA (2012)",669,0.097,NA,"Belgian IPA",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"114",11,"Kludde",627,0.085,NA,"Belgian Strong Dark Ale",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"115",11,"Farm Hand",387,0.055,NA,"Saison / Farmhouse Ale",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"116",11,"Solitude",385,0.06,NA,"Belgian Pale Ale",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"117",11,"Triomphe",384,0.065,NA,"Belgian IPA",16,"Brewery Vivant","Grand Rapids","MI","Midwest"
"118",12,"Sparkle",2635,0.041,12,"American Pale Lager",16,"Petoskey Brewing","Petoskey","MI","Midwest"
"119",12,"North 45 Amber Ale",1404,0.059,25,"American Amber / Red Ale",16,"Petoskey Brewing","Petoskey","MI","Midwest"
"120",12,"Horny Monk",1403,0.069,20,"Dubbel",16,"Petoskey Brewing","Petoskey","MI","Midwest"
"121",12,"Mind's Eye PA",1402,0.067,74,"American IPA",16,"Petoskey Brewing","Petoskey","MI","Midwest"
"122",13,"Nordskye ",2634,0.048,47,"American IPA",12,"Blackrocks Brewery","Marquette","MI","Midwest"
"123",13,"North Third Stout",2153,0.06,30,"Foreign / Export Stout",12,"Blackrocks Brewery","Marquette","MI","Midwest"
"124",13,"Honey Lav",1953,0.052,NA,"American Pale Wheat Ale",12,"Blackrocks Brewery","Marquette","MI","Midwest"
"125",13,"Coconut Brown Ale",1496,0.068,NA,"American Brown Ale",12,"Blackrocks Brewery","Marquette","MI","Midwest"
"126",13,"51K IPA",1481,0.07,51,"American IPA",12,"Blackrocks Brewery","Marquette","MI","Midwest"
"127",13,"Grand Rabbits",1480,0.055,NA,"Cream Ale",12,"Blackrocks Brewery","Marquette","MI","Midwest"
"128",14,"Hotbox Brown",2633,0.055,10,"American Brown Ale",12,"Perrin Brewing Company","Comstock Park","MI","Midwest"
"129",14,"Gold",2632,0.048,15,"American Blonde Ale",12,"Perrin Brewing Company","Comstock Park","MI","Midwest"
"130",14,"Black",2631,0.058,NA,"American Black Ale",12,"Perrin Brewing Company","Comstock Park","MI","Midwest"
"131",14,"98 Problems (Cuz A Hop Ain't One)",2630,0.065,65,"American IPA",12,"Perrin Brewing Company","Comstock Park","MI","Midwest"
"132",14,"Veteran’s Pale Ale (VPA)",2629,0.05,40,"American Pale Ale (APA)",12,"Perrin Brewing Company","Comstock Park","MI","Midwest"
"133",14,"Grapefruit IPA",2628,0.05,35,"American IPA",12,"Perrin Brewing Company","Comstock Park","MI","Midwest"
"134",15,"Train Hopper",2627,0.058,72,"American IPA",12,"Witch's Hat Brewing Company","South Lyon","MI","Midwest"
"135",15,"Edward’s Portly Brown",2626,0.045,NA,"American Brown Ale",12,"Witch's Hat Brewing Company","South Lyon","MI","Midwest"
"136",16,"Dirty Bastard",2625,0.085,50,"Scotch Ale / Wee Heavy",12,"Founders Brewing Company","Grand Rapids","MI","Midwest"
"137",16,"Centennial IPA",1565,0.072,65,"American IPA",12,"Founders Brewing Company","Grand Rapids","MI","Midwest"
"138",16,"All Day IPA",1223,0.047,42,"American IPA",12,"Founders Brewing Company","Grand Rapids","MI","Midwest"
"139",17,"Deflator",2624,0.065,NA,"Doppelbock",16,"Flat 12 Bierwerks","Indianapolis","IN","Midwest"
"140",17,"Hinchtown Hammer Down",2284,0.05,27,"American Blonde Ale",16,"Flat 12 Bierwerks","Indianapolis","IN","Midwest"
